country,hdi_rank_2017,edu_index_2017,ratio_1990,ratio_1995,ratio_2000,ratio_2005,ratio_2010,ratio_2011,ratio_2012,ratio_2013,ratio_2014,ratio_2015,ratio_2016,ratio_2017,latest_ratio,latest_ratio_year,,
Nepal,149,0.502,39,39,38,40,32,30,28,26,24,23,22,21,21,2017,,
Netherlands,10,0.906,17,,,,,12,12,12,12,12,12,,12,2016,,
New Zealand,16,0.917,18,,18,16,14,15,15,,14,14,,,14,2015,,
Nicaragua,124,0.558,33,38,36,34,30,,,,,,,,30,2010,,
Niger,189,0.214,41,39,41,44,39,39,39,36,36,37,36,,36,2016,,
Nigeria,157,0.483,41,37,43,37,38,,,,,,,,38,2010,,
Norway,1,0.915,,,,,,,,9,9,9,,,9,2015,,
Oman,48,0.706,28,26,25,,,,,,,,,,25,2000,,
Pakistan,150,0.411,41,,33,38,40,40,41,43,47,46,48,,48,2016,,
Palau,60,0.844,,,16,,,,,,,,,,16,2000,,
Palestine,119,0.66,,,36,25,28,26,24,24,24,24,24,,24,2016,,
Panama,66,0.692,23,,25,24,23,23,23,22,22,22,,,22,2015,,
Papua New Guinea,153,0.43,32,,35,,,,45,,,,,,45,2012,,
Paraguay,110,0.631,25,22,,,,,24,,,,,,24,2012,,
Peru,89,0.689,29,28,29,23,20,20,19,18,18,18,18,,18,2016,,
Philippines,113,0.661,33,34,35,35,,,,31,,30,,,30,2015,,
Poland,33,0.866,,,,12,9,10,10,10,10,10,,,10,2015,,
Portugal,41,0.759,15,,13,11,11,11,12,13,13,13,,,13,2015,,
Qatar,37,0.698,12,9,,11,12,11,10,10,11,12,12,,12,2016,,
Romania,52,0.762,,22,19,17,16,17,18,,,19,19,,19,2016,,
Russia,49,0.832,23,,18,17,,,20,20,20,20,,,20,2015,,
Rwanda,158,0.45,50,,54,69,65,58,59,60,58,58,58,,58,2016,,
Saint Kitts and Nevis,72,0.68,22,19,19,18,14,13,15,15,14,15,14,,14,2016,,
Saint Lucia,90,0.676,29,27,23,22,19,18,17,17,14,15,15,,15,2016,,
Saint Vincent and the Grenadines,99,0.655,,,19,,16,,16,15,16,15,15,,15,2016,,
Samoa,104,0.692,,18,24,,30,,,,,,,,30,2010,,
San Marino,,,6,,5,,6,6,6,,,,,,6,2012,,
Sao Tome and Principe,143,0.557,35,,,31,,30,29,31,33,39,32,31,31,2017,,
Saudi Arabia,39,0.787,,,,11,11,11,11,11,11,11,12,,12,2016,,
Senegal,164,0.368,58,60,51,42,34,33,33,32,32,32,32,,32,2016,,
Serbia,67,0.778,,,,,16,15,16,15,16,15,15,,15,2016,,
Seychelles,62,0.727,,17,15,14,13,13,13,13,13,14,14,,14,2016,,
Sierra Leone,184,0.39,35,,,,,31,33,35,,34,37,,37,2016,,
Singapore,9,0.832,26,25,,,,,,,,,,,25,1995,,
Slovakia,38,0.831,,22,18,18,15,15,15,15,15,15,,,15,2015,,
Slovenia,25,0.886,,15,,15,17,17,17,17,17,17,,,17,2015,,
Solomon Islands,152,0.469,19,,,,20,20,19,21,20,26,25,,25,2016,,
South Africa,113,0.708,,36,35,31,30,33,33,32,33,30,,,30,2015,,
South Sudan,187,0.297,,,,,,50,,,,47,,,47,2015,,
Spain,26,0.824,23,18,15,14,12,12,13,13,13,13,,,13,2015,,
Sri Lanka,76,0.749,,28,,22,24,24,24,24,24,23,23,,23,2016,,
Sudan,167,0.328,,,,29,,,,,,,,,29,2005,,
Suriname,100,0.636,22,,,19,15,14,14,14,13,14,14,,14,2016,,
Sweden,7,0.904,,11,12,10,10,9,10,12,12,12,,,12,2015,,
Switzerland,2,0.897,,,,,,,11,10,10,,,,10,2014,,
Syria,155,0.412,26,23,25,,,,,,,,,,25,2000,,
Tajikistan,127,0.659,,23,22,21,25,23,23,23,22,22,22,22,22,2017,,
United Republic of Tanzania,154,0.441,35,37,,56,51,,46,43,43,,,,43,2014,,
Thailand,83,0.661,20,,21,,16,16,16,,15,17,,,17,2015,,
Macedonia,80,0.691,,,22,19,16,,15,16,15,14,,,14,2015,,
East Timor,132,0.505,,,,,30,31,,,,,,,31,2011,,
Togo,165,0.506,56,55,37,34,41,41,42,41,41,42,41,,41,2016,,
Tonga,98,0.77,24,21,22,20,25,24,21,26,22,,,,22,2014,,
Trinidad and Tobago,69,0.722,,,21,17,,,,,,,,,17,2005,,
Tunisia,95,0.659,30,25,23,20,17,17,17,17,17,16,16,,16,2016,,
Turkey,64,0.689,30,28,,,,,20,20,19,18,,,18,2015,,
Turkmenistan,108,0.626,,,,,,,,,,,,,n.a,,,
Tuvalu,,,,,20,,,,,,,13,,,13,2015,,
